"","screenName","text","retweetCount","score","absolute_score","lon","lat"
"122","AmorTheMoai","@lucasjlynch @realDonaldTrump What is this, Battleship? You want him to shoot in the dark? So impatient. And I don't even like Trump... smh",0,0,0,-122.4194155,37.7749295
"125","amrightnow","Trump About You #TheRealDonaldTrump #ISIS #SyrianRefugees Watch https://t.co/j58e8aacrE @RealDonaldTrump #tcot https://t.co/LtsMH3aSGc",0,1,1,-74.4056612,40.0583238
"126","amrightnow","Trump About You @realDonaldTrump #realdonaldtrump #VoteTrump2016 #TrumpTrain #tcot Watch https://t.co/j58e8aacrE https://t.co/Ooc4n4PxZB",0,1,1,-74.4056612,40.0583238
"127","amrightnow","Trump About You @realDonaldTrump #realdonaldtrump #VoteTrump2016 #TrumpTrain Watch https://t.co/j58e8aacrE https://t.co/26StCIjIRl",5,1,1,-74.4056612,40.0583238
"128","amrightnow","Trump About You @realDonaldTrump #TrumpTrain Watch https://t.co/j58e8aacrE #realdonaldtrump #VoteTrump2016 https://t.co/hQLiZ6BwOB",1,1,1,-74.4056612,40.0583238
"129","amrightnow","Trump About You https://t.co/j58e8aacrE via @YouTube #realdonaldtrump #trump2016 #TrumpTrain @realDonaldTrump https://t.co/dP62gkA7hu",1,1,1,-74.4056612,40.0583238
"130","amrightnow","Trump About You @realDonaldTrump #realdonaldtrump #VoteTrump2016 #TrumpTrain #tcot Watch https://t.co/j58e8aacrE https://t.co/8xjB8o6VQt",3,1,1,-74.4056612,40.0583238
"131","AMTrautt","RT @MonicaCrowley: What do @realDonaldTrump &amp; Elle Woods have in common?  Answer in my column--you will enjoy (&amp; smile) -&gt; https://t.co/6QVÖ",43,2,2,-95.712891,37.09024
"139","angeemathurin","@realDonaldTrump is hiring the very people he accused HRC of favoring. All of you Deplorables are suckas and jackasses. Good job Trump <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F>",0,2,2,-74.0059413,40.7127837
"141","Angeliaworksof","RT @DeepakChopra: Sir @realDonaldTrump if you cyber bully individuals who disagree with you https://t.co/SN7D4KLIaI how will you ""Make AmerÖ",127,-2,2,-85.7584557,38.2526647
"145","anitatweets","@realDonaldTrump loves his Person of the Year title. I love this article:  https://t.co/Nj3w7r5lNj",0,2,2,-118.2436849,34.0522342
"149","annemariegale","RT @JuddLegum: Dear @realDonaldTrump

Will you impose a 35% tariff on the Ivanka Trump Collection? 

She's manufacturing clothes abroad, imÖ",5819,0,0,-94.6858998,46.729553
"150","AnneSheldon","Yeah because why should @realDonaldTrump only be President? https://t.co/t8BxEoJyAq",0,0,0,-82.8001026,27.9658533
"153","AnotherBodyHere","@EarthVoteOrg @angryanon99 @realDonaldTrump if Obama hasn't trashed the Constitution, Trump wouldn't have all this power. :(",0,0,0,-105.7820674,39.5500507
"155","anthonygambino7","@realDonaldTrump Thank GOD IN HEAVEN 4 Pres. Trump now the America can b strong and prosperous again! @larryelder @seanhannity @ericbolling",0,5,5,-118.2436849,34.0522342
"158","apollomystics","This is what happens when @realdonaldTrump attacks a private citizen on @Twitter. https://t.co/zIra3StvLe",0,-1,1,-104.8213634,38.8338816
"159","aprivera05","@_lisha_love @realDonaldTrump congrats! Just finished mine in accounting. Ask ur bus fin prof how much trump wld b worth if he invested",0,2,2,-79.0192997,35.7595731
"160","aprivera05","@_lisha_love @realDonaldTrump all that money rather than losing failed business ventures

Or just look at this 

https://t.co/MfWSYoILt3",0,-2,2,-79.0192997,35.7595731
"161","aprivera05","@_lisha_love @realDonaldTrump 
https://t.co/MfWSYoILt3
Facts sorry
He's a fool
Good luck your finals",0,1,1,-79.0192997,35.7595731
"166","ArkansasOnline",".@realDonaldTrump mobilizing Louisiana Republicans ahead of Senate runoff election: https://t.co/IlAFIm9NCg #ArkDG https://t.co/jc7ugUx9uI",0,0,0,-92.2895948,34.7464809
"167","Arlene90957198","RT @PARISDENNARD: What #AfricanAmericans Have to Gain From A @realDonaldTrump Presidency by #KayColesJames via @DailySignal
https://t.co/K4Ö",3,1,1,-89.3985283,40.6331249
"169","arlohemphill","Outrageous. @realDonaldTrump transition team for #Energy Dept seeks names of employees involved in #climate meetings https://t.co/N8lGnb1GSa",0,-1,1,-77.4105409,39.4142688
"170","art4democracy","RT @HumaneArtists: .@CWAUnion @AFTunion @unitehere @UAW @realDonaldTrump says @Carrier workers should have worked harder https://t.co/6SFbqÖ",22,1,1,-118.3089661,34.1808392
"173","Artist_Vicki","@realDonaldTrump What a wonderful man you are Mr. Trump!  https://t.co/4VMwB6cV6v",0,2,2,-85.6023643,44.3148443
"174","Artist_Vicki","@realDonaldTrump Help us Mr. Trump...we don't want this here! Get these people OUT! https://t.co/chtTInK6lK",0,0,0,-85.6023643,44.3148443
"175","artistsforwomen","RT @HumaneArtists: .@CWAUnion @AFTunion @unitehere @UAW @realDonaldTrump says @Carrier workers should have worked harder https://t.co/6SFbqÖ",22,1,1,-118.2436849,34.0522342
"177","AskMrPickles","RT @changemation: Apparently it's ok for @realDonaldTrump  to send manufacturing jobs overseas, he just doesn't want anyone else to

 httpsÖ",198,0,0,-118.2436849,34.0522342
"178","associatesmind","A @realDonaldTrump sticker on a Prius?! Only in Alabama. #Trump https://t.co/pK4r3W2RQP",1,1,1,-86.80249,33.5206608
"180","AthenaLetsDoDis","Trump untroubled conflicts of interest  via @msnbc @realDonaldTrump I beg U, Pls, Pls Don't Divest Don't; Impeachment wud B aDream come true",0,-1,1,-121.6543901,37.1305012
"181","AtlTeaPartyLove","Trump should buy twitter lol 

@realDonaldTrump https://t.co/k8QWhgVNhP",3,1,1,-84.3879824,33.7489954
"184","auntiejul","President-Elect Trump Chooses His Secretary Of The Interior https://t.co/SytOEaIaOo via @seanhannity @realDonaldTrump",0,1,1,-71.3824374,42.4072107
"185","auntiejul","Trump: ëSafety and Securityí of Americans Comes First https://t.co/WE1VsGmYUP via @LifeZette @realDonaldTrump",0,1,1,-71.3824374,42.4072107
"186","Autrice","RT @realDonaldTrump: Join me tomorrow! #MAGA 
10am- Baton Rouge, LA. 
Tickets: https://t.co/rvIQ6Yq45P
7pm- Grand Rapids, MI.
Tickets: httpÖ",5266,1,1,-95.3698028,29.7604267
"190","aztlannationMX","RT @JenGranholm: ìThis pick is about pulverizing the working classî -- @rweingarten https://t.co/9OHG9Uk5tP @realDonaldTrump #union #pantsuÖ",20,0,0,-95.712891,37.09024
"193","babyrocky10","RT @realDonaldTrump: Join me tomorrow! #MAGA 
10am- Baton Rouge, LA. 
Tickets: https://t.co/rvIQ6Yq45P
7pm- Grand Rapids, MI.
Tickets: httpÖ",5266,1,1,-70.5586401,41.5784425
"194","BAC0426","RT @amrightnow: Trump About You https://t.co/j58e8aacrE via @YouTube #realdonaldtrump #trump2016 #TrumpTrain @realDonaldTrump https://t.co/Ö",1,1,1,-96.6988856,33.0198431
"195","baltimoresun","This is what happens when @realDonaldTrump attacks a private citizen on Twitter: https://t.co/eFpyPT38Xd",4,-1,1,-76.6121893,39.2903848
"197","banklick","@POTUS @realDonaldTrump In two years from now not only will Trump make Obama look like an amateur President, things will be so great, O who?",0,3,3,-84.2700179,37.8393332
"198","BankruptDonaldT","RT @SolidSunny954: @PixelGun3D @realDonaldTrump is gonna bankrupt yous mother fuckers! #FuckRilisoft #ExposeRilisoft #MakePixelGunGreatAgaiÖ",1,-1,1,-81.5812755,28.419992
"203","barbaraward235","Donald Trump Offers Goldman Sachs Executive Gary Cohn Key Economic Post 

@REALDONALDTRUMP
TRUMP IN BED WITH GOLDMAN SACHS!",0,1,1,-71.5723953,43.1938516
"214","Bassmaster12","Watching @realDonaldTrump Create Money from Nothing by Scott Adams https://t.co/KYf00TiIBg via @ScottAdamsSays #MAGA",0,0,0,-86.5804473,35.5174913
"215","Bassmaster12","Making America Great Again! Optimism on economy, stocks surges since @realDonaldTrump election https://t.co/vtUD97e75P #MAGA",0,2,2,-86.5804473,35.5174913
"216","Bassmaster12",".@realDonaldTrump pick for Interior supported legislation opening up Atlantic Ocean to oil &amp; natural-gas drilling https://t.co/uCEPWjvOsz",0,1,1,-86.5804473,35.5174913
"220","bchance33","RT @eclecticbella: @bchance33 @joe_kidder2 @realDonaldTrump If Trump won't live at the WH full-time &amp; won't fly on AF1, I say he pays his oÖ",1,1,1,-95.712891,37.09024
"224","beaconsfielder","@realDonaldTrump 
Trump is the most deplorable and disgusting person I have known in my life",0,-1,1,-73.567256,45.5016889
"225","beaconsfielder","@realDonaldTrump
See you in hell Donald Trump",0,0,0,-73.567256,45.5016889
"226","bear_4bear","These people should be removed from duty GOP Elector Opposing Trump - ABC News - https://t.co/4GBrqak4WI via @ABC @realDonaldTrump #MAGA",0,1,1,-80.1300455,25.790654
"229","BecerrilEileen","@realDonaldTrump Trump is draining the swamp?He's forgotten the people! His elite Goldman Sachs will Not drain any swamp! Gold diggers!",0,1,1,-117.3961564,33.9533487
"230","BecerrilEileen","@realDonaldTrump trump is a very imposter, he played everyone! Look at his cabinet the elite, with no progress for the middle or poor! Lies!",0,1,1,-117.3961564,33.9533487
"231","BecerrilEileen","@realDonaldTrump trump is for the big elite people the rich! Cares nothing about the poor or middle income! Don't vote Republican!",0,2,2,-117.3961564,33.9533487
"232","BecerrilEileen","@realDonaldTrump Trump supporters you got played!!!! big time, nothing he has said in his campaign he'll be doing, no help to Carrier! Lies!",0,-1,1,-117.3961564,33.9533487
"233","BeChangeToday","Want to research and know the people organizing @realDonaldTrump Inauguration Party? https://t.co/Pwcux2Nvxo",1,0,0,-95.712891,37.09024
"236","Benayunk","RT @Hartsy43: @realDonaldTrump Mr. Trump-your plane is landing in 45 mins in Columbus and some of the #CBJ fellas would love to meet ya!! #Ö",98,1,1,-75.1652215,39.9525839
"237","bendibugs","RT @KoloskiSandy: Wow.....DONALD J. TRUMP IS THE NEW PEOPLE'S PRESIDENT.....PASS THIS ON @FoxNews @realDonaldTrump @OutnumberedFNC @JudgeJeÖ",33,1,1,-86.2288322,30.3960324
"238","benthar6","RT @LRBitisnot: @realDonaldTrump is just a silly, SILLY GOOSE. Right @HardballChris!?

Take Trump ""literally?"" Take him ""figuratively?"" AwwÖ",7,0,0,-122.6716063,45.6318397
"245","BetterGov","RT @CrainsChicago: What's at stake for #Chicago if @realDonaldTrump comes down on sanctuary cities https://t.co/HZyfQjpg9O via @WriterAlejaÖ",3,0,0,-87.6297982,41.8781136
"247","Bettybowden95","@crampell @greta @politico @realDonaldTrump @SpeakerRyan The man who would be president. But stabbed Mr Trump in thÖ https://t.co/wZ0d630F1i",0,1,1,-95.2155158,30.1550179
"248","BettySchendel","@FoxNews @jonathanvswan @realDonaldTrump Haha...Christmas Season at Trump Tower with a big Trump Rump Roast and a MÖ https://t.co/QDiiysiozt",2,2,2,-95.712891,37.09024
"249","BettySchendel","@Olivianuzzi @realDonaldTrump Trump isn't any beauty to look at &amp; he has multiple chins &amp; a fat Rump! https://t.co/9k7EUjkzgG",0,1,1,-95.712891,37.09024
"250","BeverlyChapman4","RT @realDonaldTrump: Masa said he would never do this had we (Trump) not won the election!",13056,2,2,-78.1633341,39.1856597
"253","bflbarlow","Now who lools like they're working for Wall Street... @realDonaldTrump = #WallStreetLackey https://t.co/8K4CImLpyK",0,1,1,-89.4012302,43.0730517
"254","biblioteq_tress","Trump has never apologized. @realDonaldTrump https://t.co/jmkJBEHPpx",2,1,1,-71.0588801,42.3600825
"255","bigdog033","@katbkm_b @realDonaldTrump It is at that. Elijah Cummings n another demo want investigations into Russia n Trump election rigging",0,1,1,-99.9018131,31.9685988
"256","bigmikeobrien","RT @realDonaldTrump: Join me tomorrow! #MAGA 
10am- Baton Rouge, LA. 
Tickets: https://t.co/rvIQ6Yq45P
7pm- Grand Rapids, MI.
Tickets: httpÖ",5266,1,1,-119.4179324,36.778261
"257","bigopinion123","@souzi54 @realDonaldTrump HEY SOUZI !! CARRIER ISSUED A STATEMENT LAST WEEK THAT 1000 JOBS WILL STAY. CHUCK LIED -- NOT TRUMP. YOUR LOGIC ??",0,0,0,-116.5016784,33.961124
"262","BillCurryct","@realDonaldTrump Did I say 'drain the swamp'? I meant 'flood'. Flood the swamp.  
https://t.co/qK2KyLJ1rY",0,-1,1,-73.087749,41.6032207
"265","birrdytalk","RT @TeamTrump: '@realDonaldTrump: Safety and Security of Americans Comes First' #AmericaFirst
https://t.co/ZagK47kACZ",205,0,0,-82.907123,40.4172871
"269","BladeInTheHouse","RT @dmartosko: Paul Ryan is at Trump Tower meeting with @realDonaldTrump",17,1,1,-95.712891,37.09024
"270","Blaqmozzez","@realDonaldTrump #NotMyPresident <U+26A1><U+FE0F> ìTrump offers another Goldman Sachs exec key economic postî

https://t.co/z732AVkcAq",0,1,1,-97.330053,37.6871761
"271","Blaqmozzez","@realDonaldTrump #NotMyPresident Meet President Trump's Cabinet of Horrors https://t.co/goa6CcNGQQ via @RollingStone",0,0,0,-97.330053,37.6871761
"272","Blaqmozzez","@realDonaldTrump #NotMyPresident Chart shows exactly how Trump's tax plan could affect you https://t.co/GPiTS3tKxB",0,0,0,-97.330053,37.6871761
"273","Blaqmozzez","@realDonaldTrump @Blaqmozzez #NotMyPresident <U+26A1><U+FE0F> ìDonald Trump to remain Executive Producer on Celebrity Apprenticeî

https://t.co/X7GPRcba9m",0,1,1,-97.330053,37.6871761
"274","Blaqmozzez","@realDonaldTrump #NotMyPresident Michael Moore Says Trump May Decide To Quit Presidency https://t.co/3IhyiAXo3M",0,1,1,-97.330053,37.6871761
"275","Blaqmozzez","@realDonaldTrump #NotMyPres Potential Trump Cabinet pick defends spreading fake stories: ëIím not a news sourceí https://t.co/CcrsI1jfEv",0,0,0,-97.330053,37.6871761
"276","Blaqmozzez","@realDonaldTrump #NotMyPresident Estate Tax Repeal Would Be a Bonanza for Trump and His Cabinet https://t.co/aODBF0f0VD",0,1,1,-97.330053,37.6871761
"278","Blink8533","@thehighsign @Evan_McMullin @realDonaldTrump don't matter Trump won!",0,2,2,-84.2940899,34.0753762
"279","blueavengers","RT @HumaneArtists: .@CWAUnion @AFTunion @unitehere @UAW @realDonaldTrump says @Carrier workers should have worked harder https://t.co/6SFbqÖ",22,1,1,-121.6957863,37.931868
"281","BluSthil","@realDonaldTrump Turns out, 2006 bipartisan bill gives Trump legal auth' to start building a border wall on DAY ONE
https://t.co/Oec4PnlStp",0,1,1,-75.977985,36.8529263
"283","BN51","RT @WealDonoodTwump: @TheTweetwit @Trollin_Trump @Conscienceiskey @manclistings How does a manchild like @realDonaldTrump cweate his cabineÖ",5,1,1,-92.1476353,32.5184775
"284","bob_cop","@KatrinaPierson @realDonaldTrump When I was in Miami and heard that Mr. Trump was thinking about the position, i said to my then friend,",0,1,1,-80.0533746,26.7153424
"285","bobbychaconjr1","@leolamarchanda @FoxNews @realDonaldTrump Trump has made it clear that he wants to put people to work. Which is a great thing.",0,4,4,-119.4179324,36.778261
"286","bobbychaconjr1","@carajoy03 @kurtimus @FoxNews @realDonaldTrump Exactly right! I hope everyone's lives improves under Trump.",0,3,3,-119.4179324,36.778261
"291","Boot_Dr","This IS a Criminal Act @realDonaldTrump https://t.co/wPxyhuJS1w",0,-1,1,-69.9298194,43.8922586
"292","Boot_Dr","@realDonaldTrump WAKE UP!!!!! Your not going to have any spare time REAL soon. https://t.co/zH5mjNYw1k",0,0,0,-69.9298194,43.8922586
"293","bostonnews002","RT @ProfessorU: Imagine this is your student/child: This is what happens when @realDonaldTrump attacks a private citizen on Twitter https:/Ö",3,-1,1,-71.0588801,42.3600825
"294","BPAnderson1164","@AJMcarronsTatto @rrhoop @eldonko_phd @MrTommyCampbell @realDonaldTrump Trump foundation made illegal political donations!",0,0,0,-94.2020084,46.3526733
"295","BPAnderson1164","@AJMcarronsTatto @rrhoop @eldonko_phd @MrTommyCampbell @realDonaldTrump You fail to realize even if POTUS (fat chance), Trump has no say",0,-1,1,-94.2020084,46.3526733
"296","BPAnderson1164","@AJMcarronsTatto @rrhoop @eldonko_phd @MrTommyCampbell @realDonaldTrump Only cause the election was rigged, just like Trump said it was",0,2,2,-94.2020084,46.3526733
